t_sec,sabd_deg_abs,sabd_deg_zeroed,sabd_vel_deg_s,sabd_trq_Nm
1.153195,-5.394662370690159,-1.2713583490737532,-0.09750861002026211,-9.295248985290527
1.162135,-5.395302806737356,-1.2719987851209504,-0.07163537987368547,-9.284767150878906
1.169372,-5.395725184925196,-1.27242116330879,-0.05836597775404498,-9.358138084411621
1.177126,-5.3961249906026065,-1.272820968986201,-0.05155905030091418,-9.358138084411621
1.184,-5.396383933706756,-1.27307991209035,-0.0376707744270037,-9.421026229858398
1.192589,-5.396638735370114,-1.2733347137537088,-0.029665944089726556,-9.410545349121094
1.19974,-5.396879147233596,-1.2735751256171906,-0.03361985932214491,-9.400063514709473
1.207901,-5.397097530458752,-1.2737935088423464,-0.026759147963897723,-9.473432540893555
1.215097,-5.397220819625699,-1.2739167980092931,-0.017132566215460127,-9.49439525604248
1.221992,-5.397317914284704,-1.2740138926682985,-0.014082247541222963,-9.483914375305176
1.22966,-5.397404932101931,-1.274100910485525,-0.011348502187883115,-9.525839805603027
1.236229,-5.397435400683038,-1.274131379066632,-0.004637965145221061,-9.567765235900879
1.243803,-5.397428576538843,-1.2741245549224374,0.0009009863791255094,-9.557284355163574
1.25082,-5.397423396344202,-1.2741193747277961,0.000738245764824031,-9.504878044128418
1.258177,-5.397418984773734,-1.274114963157328,0.0005996521910878339,-9.525839805603027
1.264821,-5.397384064307854,-1.2740800426914483,0.005255931737238613,-9.536321640014648
1.271828,-5.397353880827253,-1.2740498592108471,0.00430768972810398,-9.546802520751953
1.279813,-5.397326381823432,-1.2740223602070264,0.0034437830443452312,-9.546802520751953
1.286362,-5.397307676610492,-1.274003654994086,0.002856141448779311,-9.536321640014648
1.295056,-5.397288172598124,-1.2739841509817182,0.0022434048290264456,-9.5782470703125
1.301586,-5.39727601716119,-1.2739719955447848,0.0018615305152514547,-9.588728904724121
1.309123,-5.397264672762752,-1.2739606511463464,0.001505135727322581,-9.714505195617676
1.315688,-5.397256481200283,-1.2739524595838772,0.0012477902026851403,-9.714505195617676
1.322218,-5.397249720095712,-1.2739456984793067,0.0010353838381894714,-9.756430625915527
1.329461,-5.397243610817692,-1.2739395892012864,0.0008434552086211884,-9.766912460327148
1.335924,-5.397269987147011,-1.2739659655306053,-0.004081246304186372,-9.777393341064453
1.34358,-5.397295175240538,-1.2739911536241326,-0.0032899390082893588,-9.78787612915039
1.350232,-5.3973132772892125,-1.2740092556728069,-0.002721246376925782,-9.78787612915039
1.358431,-5.39740603842673,-1.2741020168103248,-0.011313745969228696,-9.798356056213379
